SOCIEDAD	EMPLID	UNICO	CODIGO
TLS	27487		2022175425
TLS	27573		2022175453
TLS	27573		2022175453
TLS	27636		2022175495
TLS	27636		2022175495
TLS	27636		2022175495
TLS	27775		2022175609
TLS	27784		2022175594
TLS	27809		2022175628
TLS	27854		2022175636
TLS	27854		2022175636
TLS	27854		2022175636
TLS	27866		2022175793
TLS	27866		2022175793
TLS	27866		2022175793
TLS	27866		2022175793
TLS	27866		2022175793
TLS	27876		2022175672
TLS	27876		2022175672
TLS	27876		2022175672
TLS	27876		2022175672
TLS	27876		2022175672
TLS	27914		2022175705
TLS	27914		2022175705
TLS	27914		2022175705
TLS	27914		2022175705
TLS	27976		2022175724
TLS	27976		2022175724
TLS	27976		2022175724
TLS	27976		2022175724
TLS	27976		2022175724
TLS	27987		2022175729
TLS	27987		2022175729
TLS	27993		2022175733
TLS	28072		2022175827
TLS	28147		2022175897
TLS	28170		2022175929
TLS	28197		2022175940
TLS	28197		2022175940
TLS	28213		2022175938
TLS	28213		2022175938
TLS	28213		2022175938
TLS	28213		2022175938
TLS	28213		2022175938
TLS	28226		2022175942
TLS	28226		2022175942
TLS	28240		2022175972
TLS	28319		2022176032
TLS	28319		2022176032
TLS	28319		2022176032
TLS	28354		2022176023
TLS	28354		2022176023
TLS	28354		2022176023
TLS	28354		2022176023
TLS	28354		2022176023
TLS	28377		2022176068
TLS	28377		2022176068
TLS	28377		2022176068
TLS	28412		2022176054
TLS	28412		2022176054
TLS	28412		2022176054
TLS	28412		2022176054
TLS	28467		2022176072
TLS	28467		2022176072
TLS	28467		2022176072
TLS	28486		2022176089
TLS	28486		2022176089
TLS	28514		2022176099
TLS	28514		2022176099
TLS	28514		2022176099
TLS	28514		2022176099
TLS	28514		2022176099
TLS	28518		2022176096
TLS	28518		2022176096
TLS	28518		2022176096
TLS	28518		2022176096
TLS	28518		2022176096
TLS	28549		2022176150
TLS	28549		2022176150
TLS	28549		2022176150
TLS	28549		2022176150
TLS	28549		2022176150
TLS	28647		2022176237
TLS	28647		2022176237
TLS	28647		2022176237
TLS	28693		2022176203
TLS	28737		2022176330
TLS	28737		2022176330
TLS	28737		2022176330
TLS	28767		2022176263
TLS	28767		2022176263
TLS	28767		2022176263
TLS	28786		2022176279
TLS	28810		2022176285
TLS	28810		2022176285
TLS	28810		2022176285
TLS	28810		2022176285
TLS	28825		2022176291
TLS	28825		2022176291
TLS	28825		2022176291
TLS	28825		2022176291
TLS	28825		2022176291
TLS	28842		2022176344
TLS	28842		2022176344
TLS	28842		2022176344
TLS	28874		2022176351
TLS	28874		2022176351
TLS	28877		2022176340
TLS	28879		2022176350
TLS	28879		2022176350
TLS	28893		2022176361
TLS	28936		2022176374
TLS	28936		2022176374
TLS	28936		2022176374
TLS	28936		2022176374
TLS	28936		2022176374
TLS	28970		2022176466
TLS	28970		2022176466
TLS	28970		2022176466
TLS	28970		2022176466
TLS	28970		2022176466
TLS	28995		2022176426
TLS	28995		2022176426
TLS	28995		2022176426
TLS	28995		2022176426
TLS	29008		2022280719
TLS	29008		2022280719
TLS	29013		2022176447
TLS	29013		2022176447
TLS	29013		2022176447
TLS	29033		2022176535
TLS	29033		2022176535
TLS	29033		2022176535
TLS	29044		2022176481
TLS	29044		2022176481
TLS	29044		2022176481
TLS	29044		2022176481
TLS	29057		2022176482
TLS	29057		2022176482
TLS	29057		2022176482
TLS	29085		2022176514
TLS	29085		2022176514
TLS	29085		2022176514
TLS	29085		2022176514
TLS	29085		2022176514
TLS	29103		2022176526
TLS	29103		2022176526
TLS	29117		2022176524
TLS	29117		2022176524
TLS	29117		2022176524
TLS	29117		2022176524
TLS	29117		2022176524
TLS	29163		2022176568
TLS	29163		2022176568
TLS	29168		2022176588
TLS	29168		2022176588
TLS	29192		2022176592
TLS	29192		2022176592
TLS	29235		2022176602
TLS	29235		2022176602
TLS	29235		2022176602
TLS	29259		2022176622
TLS	29259		2022176622
TLS	29259		2022176622
TLS	29259		2022176622
TLS	29259		2022176622
TLS	29275		2022176637
TLS	29299		2022176663
TLS	29299		2022176663
TLS	29299		2022176663
TLS	29299		2022176663
TLS	29299		2022176663
TLS	29305		2022176682
TLS	29305		2022176682
TLS	29305		2022176682
TLS	29305		2022176682
TLS	29312		2022176676
TLS	29312		2022176676
TLS	29312		2022176676
TLS	29312		2022176676
TLS	29316		2022176671
